,chromosome,window,bayesfactor
1,23,1,-3.501308572
2,23,2,23.01148207
3,23,3,10.61828969
4,23,4,2.556417659
5,23,5,88.5081168
6,23,6,-7.027651407
7,23,7,-6.384644049
8,23,8,51.50470151
9,23,9,48.21543605
10,23,10,54.45583679
11,23,11,40.05121455
12,23,12,16.1251025
13,23,13,27.30763841
14,23,14,30.46527397
15,23,15,1.639045277
16,23,16,-3.677308962
17,23,17,108.3329599
18,23,18,-0.495721821
19,23,19,26.50787046
20,23,20,63.4734205
21,23,21,0.394858399
22,23,22,81.97211868
23,23,23,33.72867859
24,23,24,99.48153405
25,23,25,66.38601728
26,23,26,36.45036033
27,23,27,86.94211374
28,23,28,9.829946011
29,23,29,35.86942674
30,23,30,36.49647569
31,23,31,-8.623021434
32,23,32,1.539008035
33,23,33,66.46718601
34,23,34,88.34571045
35,23,35,54.83924372
36,23,36,-13.15717259
37,23,37,-9.916966381
38,23,38,-1.967158795
39,23,39,11.15010926
40,23,40,3.164369769
41,23,41,26.9433341
42,23,42,43.48654187
43,23,43,66.43486895
44,23,44,39.28895912
45,23,45,95.85154956
46,23,46,-2.418266333
47,23,47,77.03552746
48,23,48,5.034706976
49,23,49,0.394276768
50,23,50,6.76847278
51,23,51,96.2308985
52,23,52,64.63617602
53,23,53,-9.351147612
54,23,54,25.7882379
55,23,55,27.12576754
56,23,56,-6.344367854
57,23,57,21.69386612
58,23,58,-4.536986584
59,23,59,145.6247498
60,23,60,13.48274699
61,23,61,4.190747091
62,23,62,6.558680985
63,23,63,-5.629600374
64,23,64,8.36598132
65,23,65,-3.826152189
66,23,66,65.41921121
67,23,67,77.62985269
68,23,68,77.99987265
69,23,69,-5.358528977
70,23,70,-1.832035201
71,23,71,47.97667257
72,23,72,8.476443355
73,23,73,6.831002492
74,23,74,128.7758475
75,23,75,-9.51469234
76,23,76,-1.856098423
77,23,77,-7.733735745
78,23,78,36.47708655
79,23,79,141.7154034
80,23,80,5.117676258
81,23,81,67.32356338
82,23,82,139.0085741
83,23,83,-11.99430543
84,23,84,-6.578174957
85,23,85,-0.559398658
86,23,86,58.05102459
87,23,87,74.56319803
88,23,88,-0.876812614
