"","chromosome","window","bumps"
"1",3,1,19
"2",3,2,19
"3",3,3,17
"4",3,4,17
"5",3,5,14
"6",3,6,13
"7",3,7,13
"8",3,8,19
"9",3,9,15
"10",3,10,22
"11",3,11,21
"12",3,12,17
"13",3,13,25
"14",3,14,19
"15",3,15,17
"16",3,16,20
"17",3,17,13
"18",3,18,21
"19",3,19,21
"20",3,20,18
"21",3,21,17
"22",3,22,17
"23",3,23,19
"24",3,24,17
"25",3,25,19
"26",3,26,18
"27",3,27,15
"28",3,28,12
"29",3,29,17
"30",3,30,14
"31",3,31,20
"32",3,32,18
"33",3,33,11
"34",3,34,19
"35",3,35,17
"36",3,36,13
"37",3,37,18
"38",3,38,21
"39",3,39,6
"40",3,40,16
"41",3,41,16
"42",3,42,12
"43",3,43,14
"44",3,44,24
"45",3,45,15
"46",3,46,15
"47",3,47,23
"48",3,48,21
"49",3,49,25
"50",3,50,19
"51",3,51,17
"52",3,52,18
"53",3,53,19
"54",3,54,22
"55",3,55,15
"56",3,56,17
"57",3,57,20
"58",3,58,17
"59",3,59,19
"60",3,60,20
"61",3,61,16
"62",3,62,17
"63",3,63,17
"64",3,64,18
"65",3,65,18
"66",3,66,18
"67",3,67,19
"68",3,68,15
"69",3,69,14
"70",3,70,14
"71",3,71,17
"72",3,72,20
"73",3,73,16
"74",3,74,19
"75",3,75,25
"76",3,76,19
"77",3,77,20
"78",3,78,13
"79",3,79,14
"80",3,80,18
"81",3,81,16
"82",3,82,15
"83",3,83,21
"84",3,84,17
"85",3,85,18
"86",3,86,16
"87",3,87,15
"88",3,88,17
"89",3,89,17
"90",3,90,14
"91",3,91,15
"92",3,92,10
"93",3,93,20
"94",3,94,15
"95",3,95,12
"96",3,96,13
"97",3,97,23
"98",3,98,16
"99",3,99,20
"100",3,100,23
"101",3,101,25
"102",3,102,14
"103",3,103,15
"104",3,104,20
"105",3,105,18
"106",3,106,19
"107",3,107,19
"108",3,108,16
"109",3,109,17
"110",3,110,17
"111",3,111,16
"112",3,112,19
"113",3,113,19
"114",3,114,19
"115",3,115,20
"116",3,116,20
"117",3,117,18
"118",3,118,22
"119",3,119,20
"120",3,120,19
"121",3,121,16
"122",3,122,22
"123",3,123,13
"124",3,124,21
"125",3,125,15
"126",3,126,14
"127",3,127,17
"128",3,128,15
"129",3,129,14
"130",3,130,16
"131",3,131,18
"132",3,132,15
"133",3,133,10
"134",3,134,24
"135",3,135,17
"136",3,136,16
"137",3,137,15
"138",3,138,15
"139",3,139,15
"140",3,140,18
"141",3,141,16
"142",3,142,21
"143",3,143,21
"144",3,144,17
"145",3,145,18
"146",3,146,12
"147",3,147,18
"148",3,148,12
"149",3,149,21
"150",3,150,16
"151",3,151,18
"152",3,152,20
"153",3,153,13
"154",3,154,14
"155",3,155,23
"156",3,156,14
"157",3,157,20
"158",3,158,17
"159",3,159,18
"160",3,160,17
"161",3,161,15
"162",3,162,21
"163",3,163,18
"164",3,164,17
"165",3,165,15
"166",3,166,21
"167",3,167,14
"168",3,168,18
"169",3,169,20
"170",3,170,12
"171",3,171,16
"172",3,172,19
"173",3,173,16
"174",3,174,15
"175",3,175,19
"176",3,176,18
"177",3,177,15
"178",3,178,16
"179",3,179,20
"180",3,180,15
"181",3,181,24
"182",3,182,19
"183",3,183,19
"184",3,184,18
"185",3,185,17
"186",3,186,10
"187",3,187,18
"188",3,188,21
"189",3,189,19
"190",3,190,18
"191",3,191,20
"192",3,192,18
"193",3,193,13
"194",3,194,17
"195",3,195,19
"196",3,196,5
