"","win1","win2","win3","win4","win5","win6","win7","win8","win9","win10"
"1",0,2,13,11,3,7,3,0,1,14
"2",0,4,7,11,9,5,4,0,1,15
"3",0,5,9,14,5,3,5,0,1,13
"4",0,5,10,10,4,12,7,1,1,13
"5",0,4,9,9,7,5,2,0,1,13
"6",0,5,9,12,4,8,2,0,1,12
"7",0,3,6,9,6,4,6,1,1,21
"8",0,2,12,8,5,5,4,0,1,9
"9",0,2,9,15,6,6,5,0,1,13
"10",0,4,9,11,7,3,6,0,1,19
"11",0,3,9,14,5,6,7,1,1,19
"12",0,5,8,6,8,5,6,2,1,18
"13",0,2,8,11,5,5,3,0,1,23
"14",0,2,9,11,10,6,5,0,1,16
"15",0,4,8,10,7,9,6,0,1,13
"16",0,6,9,10,12,7,5,0,1,13
"17",0,3,6,13,6,5,5,0,1,15
"18",0,4,10,8,7,8,4,1,1,20
"19",0,3,8,10,8,6,4,1,1,15
"20",0,3,9,9,8,9,5,1,1,16
"21",0,4,12,7,9,6,3,0,1,14
"22",0,5,8,12,11,4,6,1,1,18
"23",0,3,8,8,9,5,5,0,1,14
"24",0,4,14,12,6,7,5,0,1,14
"25",0,3,13,15,8,6,4,0,1,12
"26",0,4,11,12,5,7,5,0,1,14
"27",0,3,8,11,7,10,6,0,1,11
"28",0,3,6,12,10,10,5,0,1,16
"29",0,5,8,11,8,10,5,0,1,13
"30",0,1,10,6,4,5,6,0,1,13
"31",0,5,11,8,5,2,3,0,1,16
"32",0,3,9,7,6,6,8,0,1,12
"33",0,5,8,9,7,9,6,0,1,15
"34",0,4,7,10,5,6,6,0,1,17
"35",0,3,7,13,7,7,5,1,1,14
"36",0,8,8,11,6,9,5,0,1,12
"37",0,1,7,8,6,5,6,0,1,13
"38",0,5,8,9,4,6,8,0,1,12
"39",0,2,11,11,10,5,6,0,1,16
"40",0,6,14,18,6,6,5,0,1,16
"41",0,3,8,11,8,5,5,2,1,11
"42",0,4,11,10,4,4,5,0,1,14
"43",0,2,10,8,7,7,7,0,1,17
"44",0,1,10,11,10,6,3,0,1,13
"45",0,2,9,9,11,9,5,0,1,15
"46",0,4,11,15,7,5,7,1,1,11
"47",0,6,9,7,9,5,4,0,1,16
"48",0,4,11,12,9,4,5,0,1,13
"49",0,5,6,8,7,6,4,1,1,17
"50",0,3,10,9,10,6,4,0,1,12
"51",0,7,7,11,9,7,4,0,1,16
"52",0,6,9,11,5,7,6,0,1,14
"53",0,6,11,11,9,6,4,1,1,13
"54",0,3,7,11,7,8,6,1,1,14
"55",0,2,8,14,15,8,3,0,1,17
"56",0,7,8,11,7,7,7,0,1,14
"57",0,1,9,8,7,9,5,1,1,17
"58",0,2,11,9,8,5,5,0,1,11
"59",0,3,9,11,5,5,4,0,1,12
"60",0,6,6,11,3,4,7,0,1,13
"61",0,2,12,9,7,7,4,0,1,18
"62",0,3,5,10,8,8,5,0,1,14
"63",0,6,6,12,5,7,4,0,1,22
"64",0,2,9,13,6,4,6,0,1,14
"65",0,3,7,10,6,4,5,0,1,16
"66",0,4,12,9,7,8,4,1,1,15
"67",0,6,11,9,8,4,2,0,1,18
"68",0,3,6,10,4,6,4,0,1,18
"69",0,3,8,6,6,6,5,0,1,19
"70",0,5,7,6,4,5,8,0,1,13
"71",0,5,12,7,6,10,4,0,1,15
"72",0,4,7,15,8,4,5,0,1,12
"73",0,4,7,12,7,6,5,0,1,16
"74",0,5,10,14,11,5,4,0,1,14
"75",0,6,9,11,9,6,4,0,1,15
"76",0,5,8,12,8,8,5,0,1,15
"77",0,1,8,10,8,7,2,0,1,17
"78",0,4,11,11,6,4,3,0,1,13
"79",0,6,11,12,8,8,8,0,1,17
"80",0,7,9,16,10,7,9,0,1,13
"81",0,4,6,8,8,5,5,1,1,12
"82",0,6,10,8,7,7,7,0,1,12
"83",0,4,8,11,8,8,4,0,1,15
"84",0,4,7,8,5,9,3,1,1,14
"85",0,3,6,7,8,8,4,0,1,13
"86",0,3,8,10,10,10,6,0,1,13
"87",0,4,8,11,9,7,6,0,1,14
"88",0,6,7,12,6,5,5,0,1,18
"89",0,2,10,14,4,6,2,1,1,14
"90",0,2,8,10,5,4,4,0,1,18
"91",0,4,11,9,3,9,4,0,1,14
"92",0,3,11,7,7,7,4,0,1,13
"93",0,5,12,9,11,5,6,0,1,15
"94",0,4,9,7,6,6,7,0,1,16
"95",0,3,10,13,6,6,2,0,1,11
"96",0,2,10,13,5,8,5,1,1,12
"97",0,3,9,8,8,4,5,0,1,12
"98",0,4,10,13,5,9,6,0,1,16
"99",0,2,9,14,4,5,6,1,1,12
"100",0,3,13,8,8,8,4,0,1,15
