"","win1","win2","win3","win4","win5","win6","win7","win8","win9","win10"
"1",0,7,8,12,5,8,5,0,1,17
"2",0,4,10,14,6,12,7,0,1,23
"3",0,6,13,15,6,7,6,0,1,17
"4",0,4,10,10,5,6,6,0,1,23
"5",0,9,9,9,5,6,6,0,1,20
"6",0,4,10,16,10,6,4,0,1,16
"7",0,5,11,14,7,7,3,0,1,19
"8",0,2,6,15,10,9,7,0,1,24
"9",0,3,7,13,6,10,8,0,1,22
"10",0,5,8,16,8,5,5,0,1,21
"11",0,3,13,9,11,4,6,0,1,22
"12",0,5,13,10,9,9,5,0,1,18
"13",0,4,11,15,7,7,6,0,1,21
"14",0,5,9,13,10,5,5,0,1,15
"15",0,6,6,10,7,8,4,0,1,22
"16",0,2,9,9,7,4,6,0,1,22
"17",0,2,8,13,8,6,6,0,1,17
"18",0,6,9,13,9,8,5,0,1,18
"19",0,6,15,14,6,6,5,0,1,21
"20",0,3,11,14,5,11,7,0,1,16
"21",0,1,7,10,7,7,4,0,1,17
"22",0,2,10,9,6,6,7,0,1,23
"23",0,5,8,10,8,4,6,0,1,16
"24",0,8,9,12,4,8,5,0,1,21
"25",0,5,11,12,3,8,6,0,1,19
"26",0,5,14,12,6,7,8,0,1,14
"27",0,3,10,13,8,7,3,0,1,21
"28",0,4,9,12,7,5,6,0,1,17
"29",0,6,9,13,8,7,5,0,1,16
"30",0,4,11,14,5,9,5,0,1,19
"31",0,5,11,13,10,8,4,0,1,19
"32",0,2,13,15,7,9,6,0,1,20
"33",0,6,11,11,5,6,6,0,1,14
"34",0,5,10,17,2,4,7,0,1,16
"35",0,6,11,19,8,7,4,0,1,24
"36",0,2,13,12,11,4,4,0,1,18
"37",0,2,7,11,9,10,6,0,1,20
"38",0,3,7,16,6,5,4,0,1,13
"39",0,4,8,14,8,7,7,0,1,17
"40",0,5,9,11,4,6,5,0,1,20
"41",0,3,8,14,8,6,5,0,1,14
"42",0,4,12,11,5,6,3,0,1,18
"43",0,4,9,11,8,10,8,0,1,20
"44",0,5,11,15,6,5,5,0,1,18
"45",0,3,11,13,3,6,2,0,1,19
"46",0,2,13,12,6,7,6,0,1,17
"47",0,7,13,11,7,8,7,0,1,16
"48",0,3,12,12,5,7,5,0,1,18
"49",0,6,12,15,4,5,5,0,1,19
"50",0,4,10,12,9,9,6,0,1,19
"51",0,4,7,12,5,5,5,0,1,17
"52",0,3,9,16,10,7,3,0,1,17
"53",0,4,11,12,8,6,4,0,1,15
"54",0,7,15,14,8,7,6,1,1,17
"55",0,5,9,15,6,6,7,0,1,15
"56",0,5,11,11,6,5,7,0,1,12
"57",0,5,8,16,5,8,9,0,1,20
"58",0,4,12,12,4,4,7,0,1,23
"59",0,2,11,13,7,9,4,0,1,21
"60",0,4,10,9,7,7,4,0,1,20
"61",0,1,8,9,9,5,5,0,1,23
"62",0,5,8,14,12,8,6,0,1,12
"63",0,5,13,17,7,7,8,0,1,20
"64",0,3,10,16,5,9,5,0,1,23
"65",0,4,11,13,5,5,7,0,1,18
"66",0,5,11,13,9,6,4,0,1,19
"67",0,4,7,12,10,6,5,0,1,20
"68",0,5,11,15,9,11,6,0,1,20
"69",0,3,10,15,6,9,6,0,1,20
"70",0,3,9,12,6,6,7,0,1,19
"71",0,4,11,12,9,8,6,0,1,16
"72",0,3,8,13,7,7,4,0,1,20
"73",0,4,7,13,9,4,6,0,1,21
"74",0,6,9,16,7,7,4,0,1,14
"75",0,6,15,14,8,5,7,0,1,19
"76",0,3,10,11,4,8,3,0,1,18
"77",0,3,10,15,5,9,7,0,1,20
"78",0,4,12,10,5,7,3,0,1,15
"79",0,6,13,11,5,6,5,0,1,17
"80",0,2,11,14,9,7,5,0,1,14
"81",0,5,8,12,4,6,7,0,1,16
"82",0,4,12,12,8,5,4,0,1,16
"83",0,6,11,13,8,7,4,0,1,19
"84",0,2,8,13,5,12,7,0,1,22
"85",0,5,10,10,9,5,8,0,1,19
"86",0,4,10,12,8,8,5,0,1,18
"87",0,2,6,14,9,5,6,0,1,21
"88",0,5,9,15,8,7,5,0,1,21
"89",0,5,9,14,5,2,2,0,1,19
"90",0,4,7,11,6,6,4,0,1,22
"91",0,5,7,13,9,6,4,0,1,16
"92",0,6,12,13,7,8,6,0,1,25
"93",0,7,8,14,3,5,7,0,1,22
"94",0,4,8,11,6,7,5,0,1,20
"95",0,2,13,16,8,8,5,0,1,14
"96",0,5,11,12,6,6,4,0,1,18
"97",0,4,9,11,9,8,7,0,1,13
"98",0,1,9,11,5,8,4,0,1,19
"99",0,5,10,13,10,5,8,0,1,21
"100",0,4,9,16,11,8,5,0,1,20
